"Gadenavn","X-koordinat","Y-koordinat","WGS84 latitude","WGS84 longitude"
" -FLEX Sdr.bæk, Byvejen","551.507","6.262.196","56,501364","9,836735"
" -FLEX Sdr. F. Lægehus","486.304","6.199.581","55,941415","8,780731"
" -FLEX Sjelle, Rytbakke","558.013","6.226.830","56,182906","9,93461"
" -FLEX Skand. Dyrepark","601.563","6.245.421","56,342578","10,643102"
" -FLEX Skanderborg st","557.574","6.211.305","56,043489","9,92419"
" -FLEX Skb. Fælled","559.947","6.212.051","56,0499","9,962442"
" -FLEX Skb., Møllegade","557.844","6.210.467","56,035928","9,928342"
" -FLEX Skive Trafikterm","501.569","6.268.639","56,562065","9,025529"
" -FLEX Skjørring, Kirkv","555.121","6.226.271","56,178228","9,887909"
" -FLEX Skovbyskolen","558.605","6.223.779","56,155425","9,943473"
" -FLEX Slotsg. Busterm.","476.206","6.245.957","56,357688","8,614924"
" -FLEX Snaptun Havn","565.874","6.186.738","55,821721","10,051405"
" -FLEX Spektrum Odder","571.998","6.204.220","55,977893","10,15378"
" -FLEX Spentrp, Bane A.","564.168","6.266.244","56,536171","10,043377"
" -FLEX Stenderup Skole","550.404","6.183.063","55,790566","9,803841"
" -FLEX Stevnst., Grnstnv","558.286","6.254.703","56,433264","9,94517"
" -FLEX Stilling, Lynghv","561.287","6.213.308","56,061023","9,98424"
" -FLEX Stjær Kirke","559.293","6.219.541","56,117268","9,953605"
" -FLEX Storring Kirke","558.457","6.221.659","56,136398","9,940626"
" -FLEX Stouby Skole","550.105","6.173.581","55,705407","9,797334"
" -FLEX Struer Station","475.409","6.260.860","56,491537","8,600625"
" -FLEX Sundh.cen./Thors","563.837","6.258.100","56,463061","10,036"
" -FLEX Sundhedsh. Odder","572.083","6.203.414","55,97064","10,154926"
" -FLEX Sundhedshuset","457.836","6.267.440","56,549404","8,314179"
" -FLEX Sundh., Resenvej","501.804","6.269.802","56,572512","9,029361"
" -FLEX Sunds, Lægehuset","500.752","6.228.990","56,205845","9,012122"
" -FLEX Søby Forsaml.","576.621","6.246.136","56,353693","10,239919"
" -FLEX Sølund/Pavil.5","557.249","6.209.590","56,028121","9,918607"
" -FLEX Tebbestrup, klhv","562.175","6.254.845","56,434043","10,008258"
" -FLEX Tebstrup","554.855","6.203.453","55,973267","9,878946"
" -FLEX TELEFONFABRIK","719.285","6.182.627","55,739607","12,493342"
" -FLEX Thorsagerhallen","590.271","6.244.918","56,340348","10,460317"
" -FLEX Thorsager St.","589.463","6.246.610","56,355698","10,447826"
" -FLEX Tirstrup Genop.","604.227","6.240.992","56,302225","10,684427"
" -FLEX Tirstruphallen","604.569","6.240.670","56,299258","10,689824"
" -FLEX Tvede, Udbyh.v.","571.908","6.267.425","56,545659","10,169529"
" -FLEX Tved Forsaml.","589.009","6.228.865","56,196403","10,434502"
" -FLEX Tørring Kom.adm","530.182","6.189.405","55,849234","9,482063"
" -FLEX Tånum v/Kirken","556.791","6.257.752","56,460836","9,921593"
" -FLEX Udbyhøj, Færgev.","579.615","6.275.008","56,612526","10,297174"
" -FLEX Udbyneder, Udb.v","575.772","6.280.298","56,660677","10,236129"
" -FLEX Ugelbølle Forsh.","587.636","6.241.182","56,307287","10,416462"
" -FLEX Uggelhuse, Bygd.","574.758","6.258.976","56,469324","10,213444"
" -FLEX Uglev Station","471.869","6.274.351","56,61254","8,541673"
" -FLEX Uldum, Nedergrd.","536.968","6.189.236","55,847243","9,590419"
" -FLEX Ulstrup St.","548.952","6.250.401","56,395677","9,793023"
" -FLEX Ungdomsgård","458.213","6.267.585","56,55074","8,320287"
" -FLEX VACCINATION HRS.","550.858","6.190.533","55,857632","9,812479"
" -FLEX Vejlefjordskolen","542.954","6.174.391","55,713371","9,683675"
" -FLEX Vestermarksk.","570.747","6.204.547","55,981016","10,133823"
" -FLEX Viborg Domkirke","525.452","6.256.354","56,451009","9,412918"
" -FLEX Viborg Sygeh.","524.883","6.255.677","56,444958","9,403623"
" -FLEX Viborg Tinghall.","524.878","6.256.873","56,455703","9,403656"
" -FLEX Viby Torv","572.309","6.221.010","56,128671","10,163294"
" -FLEX Vildb., Ågrd.akt","485.123","6.227.531","56,192504","8,76027"
" -FLEX Vilh./Holstebrov","456.795","6.259.617","56,479031","8,298547"
" -FLEX Virring Skole","564.487","6.210.090","56,031693","10,034847"
" -FLEX Vitus Berings Pl","552.718","6.191.043","55,862014","9,842288"
" -FLEX Vitved, Gadekær","564.700","6.211.830","56,047296","10,038684"
" -FLEX Vivild Lægehus","589.475","6.260.824","56,483358","10,452879"
" -FLEX Voerladegård Sk.","545.608","6.209.049","56,02451","9,731745"
" -FLEX Vrinners Beboerh","592.496","6.234.031","56,242137","10,492482"
" -FLEX Værum, Nørgrdsv","561.162","6.251.249","56,401873","9,990993"
" -FLEX Ø.Bjerregr. Hal","555.807","6.260.252","56,483411","9,906162"
" -FLEX Ølholm Bygade","533.006","6.188.097","55,837297","9,527006"
" -FLEX Ølsted Skole","547.443","6.184.980","55,808089","9,756958"
" -FLEX Ørsted Busst.","582.048","6.262.601","56,50067","10,332879"
" -FLEX Ørum Bibliotek","604.001","6.256.357","56,44026","10,686863"
" -FLEX Øster Snede Skl.","540.866","6.183.770","55,797819","9,651848"
" -FLEX Øster Velling","552.661","6.254.141","56,428877","9,853854"
" -FLEX Ø.Tør., Udbyh.v.","572.992","6.270.995","56,577558","10,18816"
" -FLEX Aale, Nyvej","535.006","6.193.499","55,885691","9,559636"
" -FLEX Ålum, V.Vellingv","551.297","6.256.821","56,453102","9,832266"
" -FLEX Aarhus Lufthavn","600.707","6.241.577","56,308239","10,62779"
" -FLEX Årslev, Claus H.","570.933","6.251.028","56,398522","10,149217"

