Vognløb	Kørselsaftale	Garantitid	Garantitid weekend	mandag	tirsdag	onsdag	torsdag	fredag	lørdag	søndag	Ferie	25., 26. dec.	31. dec., 1. jan.
31352	3352_47	07:00 - 16:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej		Ja	Ja
31353	3353_32	11:00 - 20:00	11:00 - 20:00	Ja	Ja	Ja	Ja	Ja	Ja	Ja		Nej	Nej
31354	3354_26	07:00 - 16:00	07:00 - 16:00	Ja	Ja	Ja	Ja	Ja	Ja	Ja		Ja	Ja
31355	3355_47	06:00 - 15:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej	7, 28-29	Ja	Ja
31356	3356_47	05:00 - 14:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej	30-31, 42	Ja	Ja
31357	3357_47	06:00 - 15:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej	7, 28-29	Nej	Nej
31358	3358_47	07:00 - 16:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej	30-31, 42	Ja	Ja
31359	3359_47	14:00 - 23:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej		Nej	Ja
31360	3360_26	08:00 - 17:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej	7, 28-29	Ja	Nej
31361	3361_47	06:00 - 15:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej		Ja	Nej
31362	3362_22	06:00 - 15:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej	7, 28-29	Nej	Nej
31363	3363_22	17:00 - 01:00	17:00 - 01:00	Nej	Nej	Nej	Nej	Ja	Ja	Ja		Ja	Ja
31364	3264_47	05:00 - 14:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej	7, 28-29	Nej	Ja
31365	3365_22	06:00 - 15:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej	30-31, 42	Nej	Nej
31366	3366_32	12:00 - 21:00	12:00 - 21:00	Ja	Ja	Nej	Nej	Nej	Ja	Ja		Ja	Ja
31367	3367_22	14:00 - 23:00	14:00 - 23:00	Nej	Nej	Ja	Ja	Ja	Ja	Ja		Ja	Ja
31368	3368_47	06:00 - 15:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej	7, 28-29	Ja	Ja
31369	3369_47	09:00 - 18:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej	30-31, 42	Ja	Ja
31370	3370_22	09:00 - 18:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej	7, 28-29	Nej	Nej
31371	3371_47	06:00 - 15:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej	30-31, 42	Ja	Ja
31372	3372_47	10:00 - 19:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej	7, 28-29	Nej	Ja
31373	3373_26	12:00 - 21:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej		Ja	Nej
31374	3174_32	10:00 - 19:00	10:00 - 19:00	Nej	Nej	Nej	Nej	Ja	Ja	Ja	30-31, 42	Ja	Nej
31375	3375_47	06:00 - 15:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej		Nej	Ja
31376	3376_26	11:00 - 20:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej	7, 28-29	Ja	Nej
31377	3377_26	06:00 - 15:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej		Nej	Nej
31378	3378_26	13:00 - 22:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej		Nej	Nej
31379	3379_47	07:00 - 16:00	07:00 - 16:00	Ja	Ja	Nej	Nej	Nej	Ja	Ja	7, 28-29	Ja	Ja
31380	3380_47	09.00 - 18:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej	30-31, 42	Ja	Ja
31381	3381_47	21:00 - 06:00	21:00 - 06:00	Ja	Ja	Ja	Ja	Ja	Ja	Ja		Ja	Ja
31382	3382_47	06:00 - 15:00	06:00 - 15:00	Ja	Ja	Ja	Ja	Ja	Ja	Ja	30-31, 42	Ja	Ja
31383	3383_50	07:00 - 17:00	07:00 - 17:00	Ja	Ja	Ja	Ja	Ja	Ja	Ja		Ja	Ja
31384	3384_50	14:00 - 23:00	14:00 - 23:00	Ja	Ja	Ja	Ja	Ja	Ja	Ja		Ja	Ja
31385	3385_47	09:00 - 18:00		Ja	Ja	Ja	Ja	Ja	Nej	Nej		Nej	Nej
31386	3386_22	05:00 - 23:00	05:00 - 23:00	Ja	Ja	Ja	Ja	Ja	Ja	Ja		Ja	Ja
